IGFN1
IL31RA
SERPINB7
SOCS2
S100A2
FOSL1
VIM
EYA1
SMILR
TNC
RYR2
NFATC2
ABLIM3
SERPINA1
NTSR1
ARL14
RPL24
LGALS1
XDH
ARID3B
CPA4
ETS1
ANXA10
HDAC9
AF121898.1
LOX
PLEKHB1
GSDMA
FOXA2
GEM
GPSM3
GPAT3
PTPRR
ELFN2
ADRB2
KRTAP2-3
SHANK2
SH2D5
A2ML1
GULP1
ANKRD22
SYT14
SERPINB2
PTPRH
IL1RL1
COL8A1
HMGA2
KPNA7
LETM2
BNIP3
SOX9
LDHA
PEX5L
IL1RAPL1
NPAS2
PLP2
UPP1
INHBA
MYOSLID
CCDC9B
ARL4C
FST
STEAP1
RNASEH1-AS1
HMMR
LAMC2
TFPI
NRG1
MARCH4
IRS1
ADAMTS9
SIRPB2
MYC
LCP1
CGNL1
SCAT8
RNASE7
SMURF2
C19orf33
CD68
DBN1
AOX1
KLHL4
TRIML2
PTPRB
MIA
TNFRSF19
BARX2
TRIB1
PDK1
ZNF114
ANLN
AXL
NSMCE1
LSAMP
HBEGF
CASC8
GPATCH4
DNAH5
FOXL1
FAM72B
ELOVL6
FKBP10
FAM72D
C11orf68
SH3TC2
FAM216A
HMOX2
TOMM6
MYPN
SH3KBP1
AKAP12
HK2
MRPS23
C6orf141
DRAP1
SERPINA3
ARNTL2
SPON1
ANXA2
SPATA13
PAPPA
NME2
RASAL2
PPP1R15A
ENO2
PRSS23
SCG2
TPI1
PGK1
MRPL53
GALNT5
TMEM40
PDCD5
DUSP11
KIAA1549L
EFNB2
TM4SF1
HIST1H2BJ
KIF17
CLTRN
EFNB1
ADAMTS1
UTP4
CD44
SGK1
GTF2F2
RAB3B
DENND3
MEAK7
NAV3
WFDC3
C1orf61
CKS1B
PFDN2
TMEM200A
CADPS
TANGO6
FILIP1L
NME7
SERPINB8
SNX9
SHMT2
NETO2
MRPL24
NRP1
RPL35
LNCAROD
DSG3
SNHG8
PRR16
HSD17B3
MICAL2
TNFRSF10D
NME1
CYTOR
BNIP1
STAC
IGKV1OR9-2
AF117829.1
FAM72C
PDE1C
ODC1
MRPL18
DNER
EIF3D
REXO5
PTTG1
MTURN
NGEF
MALL
CTSV
UBASH3B
DGKA
TSC22D1
SV2A
PICART1
LINP1
KNSTRN
NCR3LG1
ARHGAP29
PTGS1
LAMA3
SLC29A1
TNNT1
ZNF165
PRKCA
TRIO
GPR176
ANKRD10
SQOR
FLI1
VAV1
ELK3
DCLK1
LAT2
RND3
FAM72A
DOCK10
DSG2
BATF2
RAP1GDS1
KCNMA1
SPOCK1
STPG1
SH3PXD2A-AS1
ATP5MF
ARHGAP17
TSPAN1
WDR54
GPR19
MRPS18C
TDRD9
STEAP2
SLC37A2
HMGA1
TMCC3
BFSP1
KIF2C
ANXA3
IL1R2
PLB1
CLIP4
LIMA1
PRKAG2
PTPRE
MRPS10
KARS
RAD51C
CHAC2
TIMM10
EMP1
RPL36
BCL10
TNFAIP3
CCDC3
MECOM
ARSJ
CTNNAL1
ENO1
PAQR5
FAM225B
SYNE3
SFTA1P
AKAP1
SEMA7A
PAK1IP1
PRR11
KIF18A
RPL39
COX6B2
SLC12A7
LRRC59
ELL2
UBC
RPL38
NDUFB8
SNRPF
TIMM9
HNRNPC
HIF1A
COL13A1
IL4R
DDN
HIRIP3
UAP1
ADAM9
SYTL3
ERI1
FBL
LAD1
DKC1
WFDC10B
NEK7
AURKA
TRIM55
CDCA7L
DAGLB
CCDC58
SUN3
P2RX5
CDCA2
C3orf67
UBE2C
CYP24A1
RPL36A
IL7R
SMS
LIVAR
CCNB2
GJC1
ZNF530
MRPS18B
CDKN2AIP
TPX2
ECM1
HJURP
ADTRP
IL6R
NEK2
MRM3
EHBP1
SSUH2
ADAMTS16
ZNF185
MAP2
ARNT2
SOCS3
RAP1GAP2
PA2G4
DDIT3
EME1
SUSD4
RGS20
SRPX
IGKV1OR-2
ABL2
KRTAP2-4
ANP32A
USP2
MRPL51
LDLRAD3
HAS3
SERPINE1
GAS5
CHN1
CYP27B1
HMGB2
RACGAP1
WDR43
PRAME
NDC80
STAT4
DNMBP
CORO1C
LIAS
LRRC20
IQGAP3
SKA3
ANKRD28
NPM1
PRMT5
OXTR
EMP3
AVPI1
THBS1
UHRF1
IFRD1
NDUFA6
SLC39A8
GLRX3
HS3ST1
FABP5
KLK1
IL1RN
RPL27
DCBLD2
CENPE
PRC1
ECT2
FKBP1C
TCAF2
NOP10
AP000695.2
MAGOH
CTSE
HMGA2-AS1
CT62
CDKN3
MICB
GPN1
GADD45A
ZBED2
SPOCD1
LRIF1
ATP2C2
TBC1D23
SYT1
CCT7
CDCA8
